Year,Map Name,web address,Category,Code,status,Source,tileset_ID,comments,url,description
1849,Thomson Town Map,https://drive.google.com/file/d/1u67wuJPiN_S6XH8cWh6tLMOfVqqwfKqz/view?usp=sharing ,A,A34,,mapbox,shgis-kennethdean.A34,,,"This is a very early map of Singapore. It maps part of the Island of Singapore comprising the town and districts, surveyed into allotments in years 1842 to 1845."
1852,"Map of Singapore Island, And Its Dependencies",https://drive.google.com/file/d/1_0DcYbV4DU4BLQOSUfKOw1QvNok9WyBn/view?usp=sharing,A,A35,,mapbox,shgis-kennethdean.A35,,,This is another very early map of Singapore. It clearly marks different land use types and cover.
1868,Gambier plantation map of Singapore Island,https://drive.google.com/file/d/1K9u15umo8qF_JflHGNnMUweTHS7yx6yZ/view?usp=sharing ,A,A36,,mapbox,shgis-kennethdean.1e41j7iu,,,This is another very early map of Singapore. It shows the expansion of gambier plantations.
1885,Map of The Island of Singapore And Its Dependencies,https://drive.google.com/file/d/1MckdOkGxhRzlzjL_HX53vfazjeGHbU4w/view?usp=sharing,A,A01,,mapbox,shgis-kennethdean.5cdw1m90,,,"<p>This layer illustrates:</p>
<ul>
<li>State of forest reserves when Nathaniel Cantley was Superintendent of the Singapore Botanic Gardens</li>
<li>First map showing the forest reserves after Cantley’s report in 1883 proposing their creation (see: “Map Of The Island Of Singapore. Annexure To Report On The Forests Of The Straits Settlements” (1882)) </li>
<li>Track changes in the forest reserve demarcation to 1898 (A02)</li>
</ul>"
1898,Map of The Island of Singapore And Its Dependencies,https://drive.google.com/file/d/1NMaKHVhQ2lHHwtmQOVf2tmB3Gh0AndXC/view?usp=sharing,A,A02,,mapbox,shgis-kennethdean.1fqv8vl6,,,"<p>This layer illustrates:</p>
<ul>
<li>State of forest reserves when Henry Ridley was Director of the Singapore Botanic Gardens</li>
<li>Some expansion since Cantley (A01)</li>
<li>First map that shows the forest areas in green</li>
</ul>"
1911,Map of The Island of Singapore And Its Dependencies ,http://libmaps.nus.edu.sg/,A,A03,,libmap,,,https://libmaps.nus.edu.sg/gis/rest/services/Sing_Hist_Maps/1911/MapServer/tile/{z}/{y}/{x}/,"<p>This layer illustrates:</p>
<ul>
<li>Track changes in the forest reserve demarcation to 1927 (A20)</li>
</ul>"
1924,A04-A19 Merged,,A,A04-MERGED,,mapbox,shgis-kennethdean.merged-3,,,"<p>This layer illustrates:</p>
<ul>
<li>Swamp areas</li>
<li>Topographical contour lines
This 16-sheet map series (here merged into one layer) is the best topographical map series to be produced of Singapore and all the off-shore islands during its time. The 1927 “Green” map (A20) was based on this map.</li>
</ul>"
1927,Singapore,https://drive.google.com/file/d/1pezcqWBZSsvmc2nyKRilasSA_6YaQglx/view?usp=sharing,A,A20,,mapbox,shgis-kennethdean.A20,,,"This layer based on the “Green” map of Singapore illustrates:
- State of forest reserves when Eric Holttum was Director of the Singapore Botanic Gardens
- Some degazettement since Ridley (A02)
- Agricultural areas"
1947,Malaya - Singapore and Johore Bahru,https://drive.google.com/file/d/1UJGEd1Qp0_MYs9VktnuGG7v59FbAyZyA/view?usp=sharing,A,A21,,mapbox,shgis-kennethdean.6wv50fjv,,,"This map shows food crop growing areas in bright Yellow. During the immediate post-WW2 years, food was scarce and local food production was encouraged by the authorities. Note that the yellow food crop areas sometimes overlap with economic crop growing areas such as coconut or rubber plantations.

It therefore illustrates:
- Cultivated areas
- Differentiation between open vegetable farms and plantations
- Impact of postwar food demand and increased food production on shrinking forest reserves"
1975,Hydrogeologic Map of the Islands of Singapore,https://drive.google.com/file/d/1dXFOzT7FqW6BwW-lFdX8r-ymuMG8i_p4/view?usp=sharing,A,A23,,mapbox,shgis-kennethdean.A23,Geolocated but not yet uploaded,,A rare one-off hydrological map of Singapore
1977,Soil Map of Republic of Singapore,https://drive.google.com/file/d/1FCRVe4v7nDXIzMfyPcbG_qx_ADb7by32/view?usp=sharing,A,A24,,mapbox,shgis-kennethdean.05bdd9c2,,,This layer is based on the only soil map of Singapore produced so far. It illustrates the distribution of all the different soil types (coloured with two-letter codes)
2006,A26-A31 Merged,,A,A26-Merged,,mapbox,shgis-kennethdean.A26-merged,,,This merged layer is based on the 2nd edition of the Geology Map of Singapore
2006,Geological Maps of Singapore Sheet 1: Lim Chu Kang,https://drive.google.com/file/d/1zgfM3P76E0GAIEdIJHkR892SOQUwgu5B/view?usp=sharing,A,A26,,mapbox,shgis-kennethdean.7e853aa0,,,
2006,Geological Maps of Singapore Sheet 2: Tampines,https://drive.google.com/file/d/1dmscvSB6I3sIXipB6yTdcYEB3BN4nVs5/view?usp=sharing,A,A27,,mapbox,shgis-kennethdean.5amyuaqf,,,
2006,Geological Maps of Singapore Sheet 3: Pulau Tekong,https://drive.google.com/file/d/1wFeRDioh4O0aFbmMuWIXNztYkKLRKmN2/view?usp=sharing,A,A28,,mapbox,shgis-kennethdean.53p5f8wg,,,
2006,Geological Maps of Singapore Sheet 4: Jurong,https://drive.google.com/file/d/1aprgVKG1bthcf7SJcJIPxuiuJpAhYq1Z/view?usp=sharing,A,A29,,mapbox,shgis-kennethdean.cf6n7l6p,,,
2006,Geological Maps of Singapore Sheet 5: Bedok,https://drive.google.com/file/d/1x0O1Kzf-oP5tEo2rbtgr--ibEiqNB_8q/view?usp=sharing,A,A30,,mapbox,shgis-kennethdean.cj080y9h,,,
2006,Geological Maps of Singapore Sheet 6: Southern Islands,https://drive.google.com/file/d/10Ygw4aV6i7vLBE8BsS3IGmk2cFYX5wL1/view?usp=sharing,A,A31,,mapbox,shgis-kennethdean.2gt9hzl9,,,
2006,Geological Maps of Singapore Sheet 7: Cross Sections,https://drive.google.com/file/d/15xpBFpUwsb2FhwRj6dvWDao0ji-yrwsi/view?usp=sharing,A,A32,,image,,,./img/A32.png,
2008,Geological Maps of Singapore Sheet 8: Locality Map,https://drive.google.com/file/d/1PS3w0dkZWTOUeJ-RtxguArVZg_nGDDes/view?usp=sharing,A,A33,,image,,,./img/A33.png,
1860,1860 maps,,B,B39,,libmap,,,https://libmaps.nus.edu.sg/gis/rest/services/Sing_Hist_Maps/1860/MapServer/tile/{z}/{y}/{x}/,
1860,Meteorological Station,,B,B40,,geojson-points,,,./geojson/meteor_stations.json,"Layer B40 provides an overview of the location and names of meteorological stations in operation between the 1840s and 1880s, and often longer. Compiled by Grace Chong."
1873,1873 Map,https://drive.google.com/file/d/19WhxBZZaEtD7QUvuU0GoifHrxxSSYMpo/view?pli=1,B,B01,,mapbox,shgis-kennethdean.B01,,,
1877,January Rainfall,https://drive.google.com/file/d/1q9HClx7TG-pd1QLW2kMRgC6fYP8NsaPg/view?usp=sharing,B,B02,,mapbox,shgis-kennethdean.44ele1vc,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1877,February Rainfall,https://drive.google.com/file/d/1M5DWMHwwlYZREjj487eHYYn7XzKWAqsF/view?usp=sharing,B,B03,,mapbox,shgis-kennethdean.0vgh85fu,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1877,March Rainfall,https://drive.google.com/file/d/1ZIL356xgyR0x1HrhCEbFHZza1zizTE4s/view?usp=sharing,B,B04,,mapbox,shgis-kennethdean.5o0uk263,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1877,April Rainfall,https://drive.google.com/file/d/1eHMoNhk3G46dXDGi1VylsUT4TQEoJKHO/view?usp=sharing,B,B05,,mapbox,shgis-kennethdean.8505p6xy,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
1877,May Rainfall,https://drive.google.com/file/d/1ShVGwBtILrh1ZhMENuqhYS9BZBzv4DfH/view?usp=sharing,B,B06,,mapbox,shgis-kennethdean.3upo7cda,,,Layer B02 to B13 show rainfall in 1877. Green dots mark meteorological stations (please combine with layers B39 and B40  or look up the station names there).
