S/N,Year,Name,Info,Link,Footnotes
A01,1885,Map of The Island of Singapore And Its Dependencies,1885 1:63360 Singapore Topography Accession No. TM000003,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/fba0dd42-115c-11e3-83d5-0050568939ad,
A02,1898,Map of The Island of Singapore And Its Dependencies,1898 1:63360 Singapore Topography Accession No.: TM000012 ,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/f9098c5a-115c-11e3-83d5-0050568939ad,
A03,1911,Map of The Island of Singapore And Its Dependencies 1911,1911 1:63360 Singapore Topography/ Geographical Section/ General Staff 1911. Map of the Island of Singapore and its Dependencies/ 1:63/360. [London]: War Office. In: “Historical Maps of Singapore/ digitised by Department of Geography/ National University of Singapore.” https://libmaps.nus.edu.sg,https://libmaps.nus.edu.sg,
A04,1924,Merger of A04a-A19,1924 1:15840,,
A04a,1924,Singapore Sheet No. 1: Mukim Number XII Lim Chu Kang,1924 1:15840 LCK Topography/ Accession No.: D2019_000027_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e5b1552-d90f-11e9-90d4-001a4a5ba61b,
A05,1924,"'Singapore Sheet No. 2: Mukim Number XI Kranji""",1924 1:15840 Kranji Topography/ Accession No.: D2019_000028_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e5e5f8a-d90f-11e9-90d4-001a4a5ba61b,
A06,1924,"'Singapore Sheet No. 3: Mukim Number XIII Sembawang""",1924 1:15840 North Seletar Topography/ Accession No.: D2019_000029_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e611e1c-d90f-11e9-90d4-001a4a5ba61b,
A07,1924,"'Singapore Sheet No. 4: Mukim Number XXI Punggol""",1924 1:15840 Pulau Ubin Topography/ Accession No.: D2019_000030_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e63d9e7-d90f-11e9-90d4-001a4a5ba61b,
A08,1924,"'Singapore Sheet No. 5: Mukim Number: VI Peng Kang""",1924 1:15840 Bajau Topography/ Accession No.: D2019_000031_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e66cea6-d90f-11e9-90d4-001a4a5ba61b,
A09,1924,"'Singapore Sheet No. 6: Mukim Number: XIII Sembawang""",1924 1:15840 Jurong-Mandai Topography/ Accession No.: D2019_000032_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e69f203-d90f-11e9-90d4-001a4a5ba61b,
A10,1924,"'Singapore Sheet No. 7: Mukim Number: XIII Sembawang""",1924 1:15840 AMK Topography/ Accession No.: D2019_000033_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e6d65be-d90f-11e9-90d4-001a4a5ba61b,
A11,1924,"'Singapore Sheet No. 8: Mukim Number: XXVII Bedok""",1924 1:15840 Changi Topography/ Accession No.: D2019_000034_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e71a884-d90f-11e9-90d4-001a4a5ba61b,
A12,1924,"'Singapore Sheet No. 9: Mukim: VIII Bajau""",1924 1:15840 Tuas Topography/ Accession No.: D2019_000035_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e74e7cb-d90f-11e9-90d4-001a4a5ba61b,
A13,1924,"'Singapore Sheet No. 10: Mukim: X Jurong""",1924 1:15840 Pandan Topography/ Accession No.: D2019_000036_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e7767eb-d90f-11e9-90d4-001a4a5ba61b,
A14,1924,"'Singapore Sheet No. 11: Mukim Number: XXVI Siglap""",1924 1:15840 Rochor Topography/ Accession No.: D2019_000037_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e7d35d8-d90f-11e9-90d4-001a4a5ba61b,
A15,1924,"'Singapore Sheet No. 12: Mukim Number: XXIII Paya Lebar""",1924 1:15840 Bedok Topography/ Accession No.: D2019_000038_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e807e17-d90f-11e9-90d4-001a4a5ba61b,
A16,1924,"'Singapore Sheet No. 13. Pulau Satu""",1924 1:15840 Southern Islands Topography/ Accession No.: D2019_000039_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e830c44-d90f-11e9-90d4-001a4a5ba61b,
A17,1924,"'Singapore Sheet no. 14. Pulau Ayer Merbau""",1924 1:15840 Southern Islands Topography/ Accession No.: D2019_000040_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e861298-d90f-11e9-90d4-001a4a5ba61b,
A18,1924,Singapore Sheet no. 15: Mukim number I Telok Blanga,1924 1:15840 Telok Blangah Topography/ Accession No.: D2019_000041_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e89086b-d90f-11e9-90d4-001a4a5ba61b,
A19,1924,Singapore Sheet No.16 (Inset). Pulau Tekong,1924 1:15840 Pulau Tekong Topography/ Accession No.: D2019_000042_TNA,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/9e8bc47f-d90f-11e9-90d4-001a4a5ba61b,
A20,1927,Singapore,1927 1:42240 Vegetation-Roads Topography/ Accession No: TM000010,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/f90976e5-115c-11e3-83d5-0050568939ad,
A21,1947,Malaya - Singapore and Johore Bahru,1947 1:63360 Singapore Topography/ Accession No.: TM001116,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/fabb47cb-115c-11e3-83d5-0050568939ad,
A23,1975[1],Hydrogeologic Map of the Islands of Singapore,1975 1:100000 Singapore Hydrogeology/ Source: Dieter Pfeiffer/ The Hydrogeologic Map of the Islands of Singapore 1 : 100000 (Explanatory Notes). Hannover: Bundesanstalt für Geowissenschaften und Rohstoffe/ 1975 (Geographisches Jahrbuch Reihe C/ Heft 9.),,Note that this is the publishing year.
A24,1977,Soil Map of Republic of Singapore,1977 1:63360 Singapore Soil/ Accession No.: SP004064,https://www.nas.gov.sg/archivesonline/maps_building_plans/record-details/fa7bdb8b-115c-11e3-83d5-0050568939ad,
A26,2006[2],Merger of A26a-A31,2006 1:25000 LCK/ Source: Kim Won Lee et al./ Geology of Singapore. Second Edition. Singapore: Defence Science and Technology Agency/ 2009.,,"Note that this is the information source (Singapore Topographical Map Series L802 Edition 10, Singapore Armed Forces (SAF Mapping Unit) publishing year. "
A26a,2006[2],Geological Maps of Singapore Sheet 1: Lim Chu Kang,2006 1:25000 Tampines Geology/ Source: Kim Won Lee et al./ Geology of Singapore. Second Edition. Singapore: Defence Science and Technology Agency/ 2009.,,"Note that this is the information source (Singapore Topographical Map Series L802 Edition 10, Singapore Armed Forces (SAF Mapping Unit) publishing year. "
